J05AF060510	Abacavir--Tableta recubierta-300 mg
N05AH034510	Olanzapina --Polvo para inyección-10 mg
B05XX004100	Oligoelementos--Solución inyectable-
A02BC010910	Omeprazol--Cápsula -10 mg
A02BC010920	Omeprazol--Cápsula-20 mg
A02BC010930	Omeprazol--Cápsula -40 mg
A02BC014510	Omeprazol--Polvo para inyección-40 mg
A02BC014610	Omeprazol--Polvo para infusión-40 mg
A04AA014110	Ondansetrón--Solución inyectable-2 mg/ml
A04AA010510	Ondansetrón--Tableta recubierta-4 mg
A04AA010520	Ondansetrón--Tableta recubierta-8 mg
J05AH020910	Oseltamivir--Cápsula-75 mg
C05AX031410	Otras preparaciones, combinaciones (Antihemorroidal) --Supositorio-100 mg + 2.5 mg
C05AX031420	Otras preparaciones, combinaciones (Antihemorroidal) --Supositorio-1 mg + 20 mg + 250 mg
C05AX031430	Otras preparaciones, combinaciones (Antihemorroidal) --Supositorio-0.630 mg + 0.612 mg + 1 mg
C05AX032010	Otras preparaciones, combinaciones (Antihemorroidal) --Pomada-5 g + 1 g/100 g 
C05AX032020	Otras preparaciones, combinaciones (Antihemorroidal) --Pomada-0.05 g + 2 g + 12.5 g/100 g 
C05AX032030	Otras preparaciones, combinaciones (Antihemorroidal) --Pomada-0.0945 g + 0.0918 g + 0.5 g/100 g 
J01CF044510	Oxacilina-1.216-Polvo para inyección-1 g
L01XA034510	Oxaliplatino--Polvo para inyección-50 mg
L01XA034520	Oxaliplatino--Polvo para inyección-100 mg
L01XA034210	Oxaliplatino--Solución para infusión-5 mg/ml
N02AA050110	Oxicodona --Tableta-5 mg
N02AA050610	Oxicodona --Tableta liberación prolongada-10 mg
N02AA050620	Oxicodona --Tableta liberación prolongada-20 mg
N02AA050630	Oxicodona --Tableta liberación prolongada-40 mg
H01BB024110	Oxitocina--Solución inyectable-10 UI/ml
L01CD014110	Paclitaxel--Solución inyectable-6 mg/ml
M03AC014110	Pancuronio--Solución inyectable-2 mg/ml
N02BE011410	Paracetamol--Supositorio-100 mg
N02BE013011	Paracetamol-Frasco x 15 ml-Solución oral-100 mg/ml
N02BE013012	Paracetamol-Frasco x 30 ml-Solución oral-100 mg/ml
N02BE012510	Paracetamol--Jarabe-120 mg/5 ml
N02BE012520	Paracetamol--Jarabe-150 mg/5 ml
N02BE012531	Paracetamol-Frasco x 60 ml-Jarabe-160 mg/5 ml
N02BE012532	Paracetamol-Frasco x 120 ml-Jarabe-160 mg/5 ml
N02BE010110	Paracetamol--Tableta-500 mg
N02BE010120	Paracetamol--Tableta-750 mg
N02BE010130	Paracetamol--Tableta-1000 mg
H05BX024510	Paricalcitol --Solución inyectable-5 mcg/ml
L03AA134110	Pegfilgrastim--Solución inyectable-6 mg/0.6 ml
L01BA044510	Pemetrexed--Polvo para inyección-500 mg
D10AE011710	Peróxido de benzoilo--Crema-5 %
D10AE011720	Peróxido de benzoilo--Crema-10 %
D10AE012310	Peróxido de benzoilo--Loción -5 %
D10AE012320	Peróxido de benzoilo--Loción -10 %
J01CR054510	Piperacilina + tazobactam--Polvo para inyección-4 g + 0.5 g
J04AK010110	Pirazinamida--Tableta-500 mg
A11HA020110	Piridoxina--Tableta-100 mg
A11HA024110	Piridoxina--Solución inyectable-150 mg/ml
A06A0001310	Polietilenglicol en combinaciones--granulado-
B05XA014110	Potasio, cloruro--Solución inyectable-2 mEq/ml
V03AB044110	Pralidoxima--Solución inyectable-50 mg/ml
P02BA010110	Praziquantel--Tableta-600 mg
H02AB060110	Prednisolona--Tableta-5 mg
H02AB060120	Prednisolona--Tableta-20 mg
S01BA043610	Prednisolona--Suspensión oftálmica-0.12 %
S01BA043620	Prednisolona--Suspensión oftálmica-1 %
H02AB070110	Prednisona--Tableta-5 mg
H02AB070120	Prednisona--Tableta-20 mg
H02AB070510	Prednisona--Tableta recubierta-20 mg
N03AX160910	Pregabalina--Cápsula-75 mg
N03AX160920	Pregabalina--Cápsula-150 mg
N03AX160930	Pregabalina--Cápsula-300 mg
P01BA030110	Primaquina--Tableta-7.5 mg
P01BA030120	Primaquina--Tableta-15 mg
L01XB010910	Procarbazina--Cápsula-50 mg
D02AB012010	Productos con zinc--Pomada-500.000 UI + 62.500 UI+ 15 g/100 g
D02AB011710	Productos con zinc--Crema-10.000.000+500.000 UI + 62.500 UI+ 15 g/100 g
D02AB011720	Productos con zinc--Crema-20 g + 5 g/100 g
D02AB011910	Productos con zinc--Ungüento -20% (20 g/100 g)
G03FA010110	Progestágenos y estrógenos--Tableta -1 mg + 2 mg
G03FA010810	Progestágenos y estrógenos--Gragea -1 mg + 2 mg
G03FA120510	Progestágenos y estrógenos--Tableta recubierta-1.5 mg + 0.300 mg
G03FA120520	Progestágenos y estrógenos--Tableta recubierta-2.5 mg + 0.625 mg
G03DA040910	Progesterona micronizada--Cápsula-100 mg
G03DA040920	Progesterona micronizada--Cápsula-200 mg
N01AX104710	Propofol--Emulsión inyectable-10 mg/ml 
N01AX104720	Propofol--Emulsión inyectable-20 mg/ml 
C07AA054110	Propranolol--Solución inyectable-1 mg/ml 
C07AA050110	Propranolol--Tableta-10 mg
C07AA050120	Propranolol--Tableta-40 mg
C07AA050130	Propranolol--Tableta-80 mg
V03AB144110	Protamina--Solución inyectable-10 mg/ml (1000 UH/ml) 
P01BC010110	Quinina--Tableta-300 mg
P01BC014110	Quinina--Solución inyectable-300 mg/ml
J05AX080510	Raltegravir--tableta recubierta-400 mg
A02BA024110	Ranitidina--Solución inyectable-25 mg/ml
A02BA020110	Ranitidina--Tableta-150 mg
A02BA020510	Ranitidina--Tableta recubierta-150 mg
A02BA020120	Ranitidina--Tableta-300 mg
A02BA020520	Ranitidina--Tableta recubierta-300 mg
A02BA020120	Ranitidina--Tableta-300 mg
N01AH064510	Remifentanilo--Polvo para inyección-2 mg
N01AH064520	Remifentanilo--Polvo para inyección-5 mg
A11CA010910	Retinol--Cápsula -50.000 UI
A11CA010810	Retinol--Gragea -50.000 UI
J04AB020910	Rifampicina--Cápsula -300 mg
J04AB022610	Rifampicina--Suspensión -100 mg/5 ml
J04AM020110	Rifampicina + Isoniazida--Tableta-300 + 150 mg
J04AM020910	Rifampicina + Isoniazida--Cápsula-300 + 150 mg
J04AM020110	Rifampicina + Isoniazida--Tableta-150 + 75 mg
J04AM020130	Rifampicina + Isoniazida--Tableta-150 + 150 mg
J04AM050110	Rifampicina + Isoniazida + Pirazinamida--Tableta-120 + 60 + 300 mg
J04AM050120	Rifampicina + Isoniazida + Pirazinamida--Tableta-150 + 75 + 400 mg
J04AM060510	Rifampicina + Isoniazida + Pirazinamida + Etambutol--Tableta-165 mg +75 mg+400 mg+275 mg
B05CB104100	Ringer Lactato--Solución inyectable-
N05AX083010	Risperidona--Solución oral-1 mg/ml
N05AX080510	Risperidona--Tableta recubierta-1 mg
N05AX080520	Risperidona--Tableta recubierta-2 mg
N05AX080530	Risperidona--Tableta recubierta-3 mg
J05AE030910	Ritonavir--Cápsula-100 mg
L01XC024210	Rituximab--Solución para infusión-10 mg/ml
M03AC094110	Rocuronio, Bromuro--Solución inyectable-10 mg/ml
R03CC020110	Salbutamol--Tableta-4 mg
R03AC023410	Salbutamol--Solución para inhalación (nebulización)-5 mg/ml
R03CC022510	Salbutamol--Jarabe-2 mg/5 ml
R03CC023010	Salbutamol--Solución oral-2 mg/5 ml
R03CC024110	Salbutamol--Solución inyectable-0.5 mg/ml
R03AC023710	Salbutamol--Aerosol-0.1 mg/dosis (100 mcg/dosis)
B03AA000810	Sales de hierro--Gragea -50 mg
B03AA000820	Sales de hierro--Gragea -100 mg
B03AA000210	Sales de hierro--Tableta masticable-100 mg
B03AA000510	Sales de hierro--Tableta recubierta-100 mg
B03AA000520	Sales de hierro--Tableta recubierta-70 mg
B03AA003010	Sales de hierro--Solución oral-20 mg/ml
B03AA003020	Sales de hierro--Solución oral-25 mg/ml
B03AA003030	Sales de hierro--Solución oral-50 mg/ml
B03AA003040	Sales de hierro--Solución oral-50 mg/5 ml
B03AA003050	Sales de hierro--Solución oral-6.66 mg/ml
B03AA002510	Sales de hierro--Jarabe-50 mg/5 ml
B03AA002610	Sales de hierro--Suspensión-30 mg/ml
B03AA002620	Sales de hierro--Suspensión-30 mg/5 ml
B03AC004110	Sales de hierro--Solución inyectable-100 mg/5 ml
B03AC004120	Sales de hierro--Solución inyectable-100 mg/2 ml
B03AC004120	Sales de hierro--Solución inyectable-100 mg/2 ml
B03AD000510	Sales de hierro + Ácido fólico--Tableta recubierta-100 mg + 0.35 mg
B03AD000520	Sales de hierro + Ácido fólico--Tableta recubierta-100 mg + 0.4 mg
B03AD000530	Sales de hierro + Ácido fólico--Tableta recubierta-100 mg + 0.5 mg
B03AD000540	Sales de hierro + Ácido fólico--Tableta recubierta-30 mg + 0.6 mg
B03AD000550	Sales de hierro + Ácido fólico--Tableta recubierta-30 mg + 5 mg
B03AD000210	Sales de hierro + Ácido fólico--Tableta masticable-100 mg + 0.5 mg
B03AD000110	Sales de hierro + Ácido fólico--Tableta -60 mg + 0.5 mg
B03AD000910	Sales de hierro + Ácido fólico--Cápsula-110 mg + 0.075 mg
B03AD000920	Sales de hierro + Ácido fólico--Cápsula-110 mg + 1 mg
A07CA001100	Sales de rehidratación oral--Polvo-
J05AE010910	Saquinavir--Cápsula-200 mg
J05AE010510	Saquinavir--Tableta recubierta -500 mg
N04BD010110	Selegilina--Tableta-5 mg
N06AB060110	Sertralina --Tableta-50 mg
N06AB060510	Sertralina --Tableta recubierta-50 mg
N06AB060910	Sertralina --Cápsula-50 mg
N06AB060120	Sertralina --Tableta-100 mg
N06AB060520	Sertralina --Tableta recubierta-100 mg
N06AB060920	Sertralina --Cápsula-100 mg
N01AB083410	Sevofluorano--Solución para inhalación-1 mg/ml
C10AA010110	Simvastatina--Tableta-10 mg
C10AA010510	Simvastatina--Tableta recubierta-10 mg
C10AA010120	Simvastatina--Tableta-20 mg
C10AA010520	Simvastatina--Tableta recubierta-20 mg
C10AA010130	Simvastatina--Tableta-40 mg
C10AA010530	Simvastatina--Tableta recubierta-40 mg
L04AA100810	Sirolimus--Gragea -1 mg
B05CB014111	Sodio cloruro-Funda x 100 ml-Solución inyectable-0.9 %
B05CB014112	Sodio cloruro-Funda x 250 ml -Solución inyectable-0.9 %
B05CB014113	Sodio cloruro-Funda x 500 ml-Solución inyectable-0.9 %
B05CB014114	Sodio cloruro-Funda x 1000 ml-Solución inyectable-0.9 %
B05XA024111	Sodio, bicarbonato-Ampolla x 10 ml-Solución inyectable-1 mEq/ml (8.4 %)
B05XA034111	Sodio, cloruro-Ampolla x 10 ml-Solución inyectable-3.4 mEq/ml (20 %)
B05DB004110	Solución diálisis peritoneal--Solución inyectable-1.5%
B05DB004120	Solución diálisis peritoneal--Solución inyectable-2.25 - 2.5%
B05DB004130	Solución diálisis peritoneal--Solución inyectable-4.25 - 4.5%
J06AA034110	Suero antiofídico polivalente--Solución inyectable-780 DL (30 mg) Bothrops c/ml neutralice 220 DL (15 mg) Crotalus ó 200 DL (15 mg) Lachesis
D06BA011711	Sulfadiazina de plata-Tubo x 30 g-Crema-1 %
D06BA011712	Sulfadiazina de plata-Pomo x 400 g-Crema-1 %
P01BD510110	Sulfadoxina + pirimetamina--Tableta-500 mg + 25 mg
A07EC010110	Sulfasalazina--Tableta-500 mg
A07EC010510	Sulfasalazina--Tableta recubierta-500 mg
R07AA024010	Surfactante pulmonar--Suspensión estéril intratraqueal-200 mg/8 ml
M03AB014110	Suxametonio--Solución inyectable-20 mg/ml
MSPMG30000	T de cobre-Sobre x 1 --
L04AX020110	Talidomida--Tableta-100 mg
L02BA010110	Tamoxifeno--Tableta-10 mg
L02BA010120	Tamoxifeno--Tableta-20 mg
G04CA020910	Tamsulosina--Cápsula -0.4 mg
G04CA021010	Tamsulosina--Cápsula liberación prolongada-0.4 mg
G04CA020610	Tamsulosina--Tableta liberación prolongada-0.4 mg
L01AX030910	Temozolomida--Cápsula -20 mg
L01AX030920	Temozolomida--Cápsula -100 mg
L01AX030930	Temozolomida--Cápsula -250 mg
J05AR030510	Tenofovir + Emtricitabina--Tableta recubierta-300 mg + 200 mg
J05AR060510	Tenofovir + Emtricitabina + Efavirenz--Tableta recubierta-300 mg + 200 mg + 600 mg
J05AF070510	Tenofovir disoproxilo--Tableta recubierta-300 mg
D01AE151710	Terbinafina--Crema-1 %
D01AE153710	Terbinafina--Aerosol-1 %
D01BA020110	Terbinafina--Tableta-250 mg
G03BA034110	Testosterona--Solución inyectable-250 mg/ml
H03BB020110	Tiamazol--Tableta-5 mg
A11DA010110	Tiamina--Tableta-100 mg
A11DA014110	Tiamina--Solución inyectable-50 mg/ml
S01ED013210	Timolol--Solución oftálmica-0.25 %
S01ED013220	Timolol--Solución oftálmica-0.5 %
P01AB020110	Tinidazol--Tableta-1 g
P01AB020510	Tinidazol--Tableta recubierta-1 g
P01AB021510	Tinidazol--Óvulo-150 mg
P01AB020710	Tinidazol--Tableta vaginal-150 mg
L01BB030110	Tioguanina--Tableta-40 mg
N01AF034510	Tiopental sódico--Polvo para inyección-1 g
R03BB040910	Tiotropio bromuro--Cápsula-5 mcg
R03BB040920	Tiotropio bromuro--Cápsula-18 mcg
B01AC174110	Tirofibán--Solución inyectable-0.25 mg/ml
S01AA122210	Tobramicina--Gel oftálmico-0.3 %
S01AA121810	Tobramicina-Tubo x 3.5 g-Ungüento oftálmico-0.3 %
R07AX003410	Tobramicina--Solución para inhalación-300 mg/5 ml
S01AA123210	Tobramicina--Solución oftálmica-0.30 %
M03AC014510	Toxina botulínica--Polvo para inyección-100 UI
M03AC014520	Toxina botulínica--Polvo para inyección-500 UI
J07AM514410	Toxoide diftérico tetánico--Suspensión inyectable->2 UI+ >20 UI/0.5 ml
J07AM514420	Toxoide diftérico tetánico--Suspensión inyectable-15 LF + 10 LF/0.5 ml
J07AJ524420	Toxoide diftérico tetánico + Vacuna pertusis--Suspensión inyectable-2 UI + 20 UI + 8 mcg/0.5 ml
J07AM014410	Toxoide tetánico--Suspensión inyectable->40 UI/0.5 ml
N02AX024111	Tramadol-Ampolla x 1 ml-Solución inyectable-50 mg/ml
N02AX024112	Tramadol-Ampolla x 2 ml-Solución inyectable-50 mg/ml
N02AX023010	Tramadol--Solución oral-100 mg/ml
L01XC034510	Trastuzumab--Polvo para inyección-440 mg
D10AD011710	Tretinoina--Crema-0.1 %
D03AX112710	Tretinoina--Emulsión-0.67 g/100 g
S01FA063210	Tropicamida--Solución oftálmica-1 %
D02AE011710	Urea--Crema-5 %
D02AE011720	Urea--Crema-10 %
D02AE012310	Urea--Loción-5 %
D02AE012320	Urea--Loción-10 %
J07BL014510	Vacuna antiamarílica--Polvo para inyección->1000
J07BC014110	Vacuna antihepatitis A--Solución inyectable->500 RU/0.5 ml
J07BC014410	Vacuna antihepatitis A--Suspensión inyectable-80 U/0.5 ml 
J07BC014420	Vacuna antihepatitis A--Suspensión inyectable-160 U/0.5 ml
J07BC014410	Vacuna antihepatitis B--Suspensión inyectable-10 mcg/0.5 ml
J07BF022610	Vacuna antipoliomielítica--Suspensión-Tipo I 106 TCID50 + tipo II 105 TCID50 + tipo III 105.5 TCID50/0.5 ml
J07BH012610	Vacuna antirotavirus--Suspensión-G1 2.2 x 106 UI, G2 2.8 x 106 UI, G3 2.22 x 106 UI, G4 2.04 x 106 UI y P1 2.29 x 106 UI
J07BG014510	Vacuna antirrábica--Polvo para inyección-2.5 UI
J07BK014520	Vacuna antivaricela--Polvo para inyección-2000 PFU
J07AN014510	Vacuna BCG--Polvo para inyección-8 x 108 UFC
J07AN014520	Vacuna BCG--Polvo para inyección-19.2 x 108 UFC
J07CA114400	Vacuna pentavalente viral--Suspensión inyectable-
J07BD524510	Vacuna triple viral--Polvo para inyección-1000 DITC50 + 5000 DITC50 + 1000 DITC50/0.5 ml
J07AH004510	Vacunas antimeningococo (A+C)--Polvo para inyección-50 mcg + 50 mcg
J07AL004110	Vacunas antineumococo--Solución inyectable-25 mcg/0.5 ml
J05AB140110	Valganciclovir--Tableta-450 mg
J05AB140510	Valganciclovir--Tableta recubierta-450 mg
J01XA014510	Vancomicina--Polvo para inyección-500 mg
J01XA014520	Vancomicina--Polvo para inyección-1000 mg
H01BA014110	Vasopresina--Solución inyectable-20 UI/ml
N06AX161010	Venlafaxina--Cápsula liberación prolongada-37.5 mg
N06AX160510	Venlafaxina--Tableta recubierta-75 mg
N06AX161020	Venlafaxina--Cápsula liberación prolongada-75 mg
N06AX160610	Venlafaxina--Tableta liberación prolongada-75 mg
N06AX161030	Venlafaxina--Cápsula liberación prolongada-150 mg
N06AX160620	Venlafaxina--Tableta liberación prolongada-150 mg
L01CA014110	Vinblastina--Solución inyectable-10 mg/10 ml
L01CA024110	Vincristina--Solución inyectable-1 mg/ml
L01CA024510	Vincristina--Polvo para inyección-1 mg
B05XC004100	Vitaminas liposolubles--Solución inyectable-
B01AA030110	Warfarina--Tableta-5 mg
J05AF010910	Zidovudina--Cápsula-100 mg
J05AF010510	Zidovudina--Tableta recubierta-300 mg
J05AF014210	Zidovudina--Solución para infusión-10 mg/ml (200 mg/20 ml)
J05AF013010	Zidovudina--Solución oral-50 mg/5 ml
J05AR010510	Zidovudina + Lamivudina--Tableta recubierta-300 mg + 150 mg
NUEVOS	---
D10AD03	Adapaleno.\n--Semisólido cutáneo-0.1 %
D05AA01	Alquitrán de hulla--Líquido cutáneo-5 %
P01BF01	Artemeter + lumefantrina--Sólido oral-20 mg + 120 mg
J05AE08	Atazanavir\n--Sólido oral-150 mg y 200 mg
A12AA04	Carbonato cálcico.\n--Sólido oral-500 mg
J01DB01	Cefalexina\n--Sólido oral-500 mg
J01DB01	Cefalexina\n--Sólido oral (Polvo)-250 mg/5ml
S01AX13	Ciprofloxacino\n--Líquido oftálmico-0.3 %
R02AB04	Bacitracina\n--Sólido oral-10 mg y 30 mg
R02AB04	Bacitracina\n--Líquido oral-10 mg/5ml
J01XB01	Colistin\n--Sólido parenteral-100 mg
A11JA	Combinaciones de vitaminas--Sólido parenteral-
M03CA01	Dantroleno\n--Sólido parenteral-20 mg
H01BA02	Desmopresina--Líquido parenteral-15 mcg/ml
H01BA02	Desmopresina--Líquido para inhalación-10 mcg /0.1ml
V03AB09	Dimercaprol\n--Líquido parenteral-100 mg/ml
C01CA26	Efedrina--Líquido parenteral-60 mg/ml
S01AA17	Eritromicina\n--Semisólido oftálmico-0.5 %
J01FA02	Espiramicina\n--Sólido oral-3'000.000 UI
J05AG04	La etravirina\n--Sólido oral-100 mg y 200 mg
B03AA07	Sulfato ferroso\n--Sólido oral-50mg - 100 mg (equivalente a hierro elemental)
B03AA07	Sulfato ferroso\n--Líquido oral-25 mg/ml (equivalente a hierro elemental)
B03AA07	Sulfato ferroso\n--Líquido oral-25 - 50 mg/5ml (equivalente a hierro elemental)
H02AA02	Fludrocortisona\n--Sólido oral-0.1 mg
V03AB34	Fomepizol\n--Líquido parenteral-1 g
N03AX12	Gabapentina.\n--Sólido oral-300 mg
A06AG04	Glicerol.\n--Sólido rectal-0.92 g - 3 g
H04AA01	Glucagón--Sólido parenteral-1 mg
N02AA03	Hidromorfona.\n--Sólido oral-2.5 mg y 5 mg
N02AA03	Hidromorfona.\n--Líquido parenteral-2 mg/ml
V03AB33	Hydroxocobalamin\n--Líquido parenteral-1 mg/ml
B03AC02	Óxido sacarato de hierro\n--Líquido parenteral-100 mg
P02CF01	Ivermectina\n--Sólido oral-6 mg
P02CF01	Ivermectina\n--Líquido oral-6 mg/ml
C05AD01	Lidocaína.\n--Semisólido rectal-2 %
J05AR10	Lopinavir y ritonavir\n--Sólido oral-100mg + 25 mg y 200 mg + 50 mg
J05AR10	Lopinavir y ritonavir\n--Líquido oral-80 mg + 20 mg/ml
N07BC02	Metadona.\n--Líquido parenteral-5mg/ml
L01XX09	Miltefosina\n--Sólido oral-10 mg y 50 mg
A09AA02	Multienzimas (lipasa, proteasa etc.).\n--Sólido oral-150 mg (8.000 UI, 10.000 UI, 600 UI)
B03AE04	Hierro, multivitaminas y minerales.\n--Sólido oral (Polvo)-• 12,5 mg • 5 mg • 300 mcg • 160 mcg • 30 mg
C08CA05	Nifedipino.
\n--Sólido oral-10 mg
V03AN01	Oxígeno
\n---
M01CC01	Penicilamina\n--Sólido oral-125 mg y 250 mg
P03AC04	Permetrina\n--Semisólido cutáneo-1 %
P03AC04	Permetrina\n--Líquido cutáneo (champú)-1 %
N07AA02	Piridostigmina--Sólido oral-60 mg
P01BD01	Pirimetamina\n--Sólido oral-25 mg
C05BB02	Polidocanol.\n--Líquido parenteral-3 %
A06AD65	Macrogol, combinaciones.\n--Sólido oral (granulado)-
A06AD65	Macrogol, combinaciones.\n--Sólido oral (granulado)-
N05AH04	Quetiapina\n--Sólido oral-25 mg - 300 mg
J01EC02	Sulfadiazina\n--Sólido oral-500 mg
A12CB01	Sulfato de cinc.\n--Líquido oral-2mg/ml y 5mg/ml
L01XE04	Sunitinib--Sólido oral-12.5 mg - 50 mg
J01GB01	La tobramicina\n--Líquido para inhalación-300 mg/5ml
M03AX01	Toxina botulínica\n--Sólido parenteral-100 U y 500 U
C01DA02	Nitroglicerina (Glicerol trinitrato).\n--Líquido parenteral-5 mg/ml
D03AX	Trolamina--Líquido cutáneo-0.67 g /100 g
J07BC02	La hepatitis A, virus completo inactivado\n--Líquido parenteral-
J07AL02	Los neumococos purificado antígeno polisacárido conjugado\n--Líquido parenteral-
J02AC03	El voriconazol\n--Sólido parenteral-200 mg
J02AC03	El voriconazol\n--Sólido oral-200 mg
J05AR05	La zidovudina, lamivudina y nevirapina\n--Sólido oral-300 mg + 150 mg + 200 mg
J07BK02	Virus Zoster, vivo atenuado\n--Sólido parenteral-
D10AD02	RETINOL--Crema-0.05g
B02AA02	ACIDO TRANEXAMICO-Ampolla x 5 ml-Solución inyectable-0.1 g/ml
B05AA01	ALBÚMINA--Solución inyectable-20% - 25%
C03DB01	AMILORIDE-Ampolla-Solución inyectable-10 mg
C01CE01	AMRINONA-Ampolla-Solución inyectable-0,5 g
L01XC07	BEVACIZUMAB-Ampolla-Solución inyectable-100 mg
C09CA	ANTAGONISTAS DE LA ANGIOTENSINA II-Ampolla-Solución inyectable-
L01XX32	BORTEZOMIB-Ampolla-Solución inyectable-
N02AE01	BUPRENORFINA-Ampolla-Solución inyectable-300 mcg/ml
N02AE01	BUPRENORFINA--Tableta-0,2 mg
N02AE01	BUPRENORFINA--Parche Transdermico-35 - 70
N04BC06	CABERGOLINA--Tableta-
C09AA01	CAPTOPRIL-Frasco-Suspensión oral-
L01XC06	CETUXIMAB-Vial-Solución inyectable-100 mg / 50 ml
M03BX08	CICLOBENZAPIRINA--Tabletas-
N06BC01	CAFEINA-Frasco-Gotas-
H01BA02	DESMOPRESINA-Frasco-Aerosol-
N05CM18	DEXMEDETOMIDINA-Ampolla-Solución inyectable-
C01AA05	DIGOXINA-Frasco-Gotas Pediatricas-
B01AC07	DIPIRIDAMOL-Ampolla-Solución inyectable-
N02BB02	DIPIRONA-Ampolla-Solución inyectable-
L01DB01	DOXORUBICINA LIPOSOMAL-Ampolla-Solución inyectable-
L01XE03	ERLOTINIB--Tableta-100 mg
L01XE03	ERLOTINIB--Tableta-150 mg
L03AA03	MOLGRAMOSTIM-Ampolla-Solución inyectable-
L03AA09	SARGRAMOSTIM-Ampolla-Solución inyectable-
L03AA10	LENOGRASTIM-Ampolla-Solución inyectable-
L03AA12	ANCESTIM-Ampolla-Solución inyectable-
L03AA14	LIPEGFILGRASTIM-Ampolla-Solución inyectable-
H04AA01	GLUCAGON-Ampolla-Solución inyectable-
H01AC01	SOMATOPRINA-Ampolla-Solución inyectable-
M01AE01	IBUPROFENO-Ampolla-Solución inyectable-
D01AC05	ISOCONAZOL-Tubo x 20 g-Crema-
D10AD04	ISOTRETINOINA--Tableta-20 mg
L01XE07	LAPATINIB--Tableta-250 mg
J01XX08	LINEZOLID-Ampolla-Solución inyectable-600 mg
J01XX08	LINEZOLID--Tableta-600 mg
N07AA02	MESTINON--Tableta-60 mg
C01CE02	MILRINONA-Ampolla-Solución inyectable-10 mg
R01AA05	OXIMETAZOLINA-Frasco x 10 ml-Solución Topica-
A04AA05	PALONOSETRON-Ampolla-Solución inyectable-
A03AD01	PAPAVERINA-Ampolla-Solución inyectable-
L01BA04	PEMETREXED-Ampolla-Solución inyectable-
C04AD03	PENTOXIFILINA-Ampolla-Solución inyectable-
R01	POMADA LUBRICANTE NASAL-Tubo-Ungüento -
N03AX16	PREGABALINA--Cápsula-75 mg
N03AX16	PREGABALINA--Cápsula-150 mg
N03AX16	PREGABALINA--Cápsula-300 mg
H03BA02	PROPILTIOURACILO--Tableta-
N01AX10	PROPOFOL-Ampolla x 20 ml-Solución inyectable-20 mg
G02AD 	PROSTAGLANDINA--Cápsula-
B05DB	RESINAS DE INTERCAMBIO IONICO--Solución oral-
L01XE04	SUNITINIB--Tableta-
L04AD02	TACROLIMUS-Tubo-Crema-
L04AX02	TALIDOMIDA--Tableta-
J01AA12	TIGECICLINA-Ampolla-Solución inyectable-50 mg
A03AA05	TRIMEBUTINA--Tableta-200 mg
H01BA01	VASOPRESINA--Solución para inhalación-
A11CA01	VITAMINA A--Solución tópica-
N05CF01	ZOPICLONA--Tableta-
L02AE02	ACETATO DE LEUPROLIDE-Ampolla-Solución inyectable-3.75 mg
A01AA01	NULL
A01AA02	NULL
A01AA03	NULL
A01AA04	NULL
A01AA30	NULL
A01AA51	NULL
A01AB02	NULL
A01AB03	NULL
A01AB04	NULL
A01AB05	NULL
A01AB06	NULL
A01AB07	NULL
A01AB08	NULL
A01AB09	NULL
A01AB10	NULL
A01AB11	NULL
A01AB12	NULL
A01AB13	NULL
A01AB14	NULL
A01AB15	NULL
A01AB16	NULL
A01AB17	NULL
A01AB18	NULL
A01AB19	NULL
A01AB21	NULL
A01AB22	NULL
A01AB23	NULL
A01AC01	NULL
A01AC02	NULL
A01AC03	NULL
A01AC54	NULL
A01AD01	NULL
A01AD02	NULL
A01AD05	NULL
A01AD06	NULL
A01AD07	NULL
A01AD11	NULL
A02AA01	NULL
A02AA02	NULL
A02AA03	NULL
A02AA04	NULL
A02AA05	NULL
A02AA10	NULL
A02AB01	NULL
A02AB02	NULL
A02AB03	NULL
A02AB04	NULL
A02AB05	NULL
A02AB06	NULL
A02AB07	NULL
A02AB10	NULL
A02AC01	NULL
A02AC10	NULL
A02AD01	NULL
A02AD02	NULL
A02AD03	NULL
A02AD04	NULL
A02AD05	NULL
A02AF02	NULL
A02BA01	NULL
A02BA03	NULL
A02BA04	NULL
A02BA05	NULL
A02BA06	NULL
A02BA07	NULL
A02BA08	NULL
A02BA51	NULL
A02BA53	NULL
A02BB01	NULL
A02BB02	NULL
A02BC02	NULL
A02BC03	NULL
A02BC04	NULL
A02BC05	NULL
A02BD01	NULL
A02BD02	NULL
A02BD03	NULL
A02BD04	NULL
A02BD05	NULL
A02BD06	NULL
A02BX01	NULL
A02BX02	NULL
A02BX03	NULL
A02BX04	NULL
A02BX05	NULL
A02BX06	NULL
A02BX07	NULL
A02BX08	NULL
A02BX09	NULL
A02BX10	NULL
A02BX11	NULL
A02BX12	NULL
A02BX13	NULL
A02BX51	NULL
A02BX71	NULL
A02BX77	NULL
A03AA01	NULL
A03AA03	NULL
A03AA04	NULL
A03AA06	NULL
A03AA07	NULL
A03AA08	NULL
A03AA09	NULL
A03AA30	NULL
A03AB01	NULL
A03AB02	NULL
A03AB03	NULL
A03AB04	NULL
A03AB05	NULL
A03AB06	NULL
A03AB07	NULL
A03AB08	NULL
A03AB09	NULL
A03AB10	NULL
A03AB11	NULL
A03AB12	NULL
A03AB13	NULL
A03AB14	NULL
A03AB15	NULL
A03AB16	NULL
A03AB17	NULL
A03AB18	NULL
